folder name,yt link,status
@panggilajaren,https://www.youtube.com/@panggilajaren/shorts,
@teorifadil,https://www.youtube.com/@teorifadil/shorts,
@SpeakUp-Learn1,https://www.youtube.com/@SpeakUp-Learn1/shorts,
@dutainfo,https://www.youtube.com/@dutainfo/shorts,
@thebloofficial,https://www.youtube.com/@thebloofficial/shorts,
@MRsmile_,https://www.youtube.com/@MRsmile_shorts/shorts,
@god1vaa,https://www.youtube.com/@god1vaa/shorts,
@RaniPayet,https://www.youtube.com/@RaniPayet/shorts,
@bang.ibe87,https://www.youtube.com/@bang.ibe87/shorts,
@Ello_MG,https://www.youtube.com/@Ello_MG/shorts,
@KindNessia,https://www.youtube.com/@KindNessia/shorts,
@Boscojkx,https://www.youtube.com/@Boscojkx/shorts,
@ranggamahera,https://www.youtube.com/@ranggamahera/shorts,
@sejarahbolaupdate,https://www.youtube.com/@sejarahbolaupdate/shorts,
@tedchay,https://www.youtube.com/@tedchay/shorts,
@riskyfromjapan,https://www.youtube.com/@riskyfromjapan/shorts,
@rudgusan,https://www.youtube.com/@rudgusan/shorts,
@DonWoriShort,https://www.youtube.com/@DonWoriShort/shorts,
@TukangTrip,https://www.youtube.com/@TukangTrip/shorts,
@RevisiTerakhir,https://www.youtube.com/@RevisiTerakhir/shorts,
@kabirrifaipro,https://www.youtube.com/@kabirrifaipro/shorts,
@PixelPediaID,https://www.youtube.com/@PixelPediaID/shorts,
@AgusleoHalim,https://www.youtube.com/@AgusleoHalim/shorts,
@lempardadu,https://www.youtube.com/@lempardadu/shorts,
@sebastiantedy,https://www.youtube.com/@sebastiantedy/shorts,
@TrainersManagementIndonesia,https://www.youtube.com/@TrainersManagementIndonesia/shorts,
@evelynhut,https://www.youtube.com/@evelynhut/shorts,
@xoxoanggamlbb,https://www.youtube.com/@xoxoanggamlbb/shorts,
@aprinaleko,https://www.youtube.com/@aprinaleko/shorts,
@davinazharid,https://www.youtube.com/@davinazharid/shorts,
@PashaLovarian,https://www.youtube.com/@PashaLovarian/shorts,
@jeffdominic,https://www.youtube.com/@jeffdominic/shorts,
@NYANTECH,https://www.youtube.com/@NYANTECH/shorts,
@rekapilem,https://www.youtube.com/@rekapilem/shorts,
@deDarkInsight,https://www.youtube.com/@deDarkInsight/shorts,
@ONENG_HD,https://www.youtube.com/@ONENG_HD/shorts,
@thetwinstv_official,https://www.youtube.com/@thetwinstv_official/shorts,
@turubed,https://www.youtube.com/@turubed/shorts,
@gemaawfilm,https://www.youtube.com/@gemaawfilm/shorts,
@everydaywithfacts,https://www.youtube.com/@everydaywithfacts/shorts,
@ngobrolsepakbola,https://www.youtube.com/@ngobrolsepakbola/shorts,
@fengxiuya,https://www.youtube.com/@fengxiuya/shorts,
@monkeyplaymlbb,https://www.youtube.com/@monkeyplaymlbb/shorts,
@Nanda2012,https://www.youtube.com/@Nanda2012/shorts,
@bagongbekbekbek,https://www.youtube.com/@bagongbekbekbek/shorts,
@Donnyrapu,https://www.youtube.com/@Donnyrapu/shorts,
@HobbyMakan,https://www.youtube.com/@HobbyMakan/shorts,
@DelishaDaanish,https://www.youtube.com/@DelishaDaanish/shorts,
@Antb.Official,https://www.youtube.com/@Antb.Official/shorts,
@Clieff.Ikhtus,https://www.youtube.com/@Clieff.Ikhtus/shorts,
@arlikurniavideo,https://www.youtube.com/@arlikurniavideo/shorts,
@raniqym,https://www.youtube.com/@raniqym/shorts,
@NamakuTakBiasa,https://www.youtube.com/@NamakuTakBiasa/shorts,
@antoniognwn,https://www.youtube.com/@antoniognwn/shorts,
@AndreaYudias,https://www.youtube.com/@AndreaYudias/shorts,
@anigemsloreid,https://www.youtube.com/@anigemsloreid/shorts,
@zaidan_0.0_,https://www.youtube.com/@zaidan_0.0_/shorts,
@iTSJEEML,https://www.youtube.com/@iTSJEEML/shorts,
@depraz_,https://www.youtube.com/@depraz_/shorts,
@papapodcastid,https://www.youtube.com/@papapodcastid/shorts,
@ZayyanAF,https://www.youtube.com/@ZayyanAF/shorts,
@gtid-news,https://www.youtube.com/@gtid-news/shorts,
@MineStackID,https://www.youtube.com/@MineStackID/shorts,
@cbplaysgame,https://www.youtube.com/@cbplaysgame/shorts,
@jakartakeras,https://www.youtube.com/@jakartakeras/shorts,
@AkademiCrypto,https://www.youtube.com/@AkademiCrypto/shorts,
@angkadandata_channel,https://www.youtube.com/@angkadandata_channel/shorts,
@Sport73_,https://www.youtube.com/@Sport73_/shorts,
@RadiasiNuvo,https://www.youtube.com/@RadiasiNuvo/shorts,
@tahukahkamu_,https://www.youtube.com/@tahukahkamu_/shorts,
@Kevindikmanto2,https://www.youtube.com/@Kevindikmanto2/shorts,
@FaktaChanel-sg8nj,https://www.youtube.com/@FaktaChanel-sg8nj/shorts,
@fakta99fakta,https://www.youtube.com/@fakta99fakta/shorts,
@gudangit,https://www.youtube.com/@gudangit/shorts,
